moment_id,date,year,competition,match,opponent,venue,context,performance,result,category,source
MOMENT_01,2005-04-05,2005,ODI Series,"India vs Pakistan, 2nd ODI",Pakistan,"ACA-VDCA Stadium, Visakhapatnam",Promoted to No. 3 by Sourav Ganguly,"148 runs (123 balls, 15 fours, 4 sixes)",India won by 58 runs,CAREER_BREAKTHROUGH,ESPNcricinfo / Cricsheet
MOMENT_02,2005-10-31,2005,ODI Series,"India vs Sri Lanka, 3rd ODI",Sri Lanka,"Sawai Mansingh Stadium, Jaipur","Chasing 299, promoted to No. 3 after Tendulkar fell in 1st over","183* runs (145 balls, 15 fours, 10 sixes) - Highest ODI score by a wicketkeeper",India won by 6 wickets with 23 balls to spare,RECORD_BREAKING,ESPNcricinfo / Cricsheet
MOMENT_03,2007-09-24,2007,ICC World Twenty20,"India vs Pakistan, Final",Pakistan,"Wanderers, Johannesburg",Pakistan needed 13 runs off final over with 1 wicket remaining,Masterstroke captaincy decision to give 20th over to Joginder Sharma; Misbah caught by Sreesanth,India won by 5 runs (Champions),CAPTAINCY_GENIUS,ICC / Cricsheet
MOMENT_04,2010-04-18,2010,IPL 2010,CSK vs Kings XI Punjab,Kings XI Punjab,"HPCA Stadium, Dharamsala",CSK needed 16 runs off final over from Irfan Pathan to qualify for semi-finals,"Dhoni hit 4, 2, 6, 6 (54* off 29 balls) followed by helmet punch celebration",CSK won by 6 wickets,FINISHING_CLUTCH,IPL / Cricsheet
MOMENT_05,2011-04-02,2011,ICC Cricket World Cup,"India vs Sri Lanka, Final",Sri Lanka,"Wankhede Stadium, Mumbai",India 114/3 chasing 275; Dhoni promoted himself ahead of Yuvraj Singh to counter Muralitharan,"91* (79 balls, 8 fours, 2 sixes) culminating in iconic match-winning six into the Mumbai night sky",India won by 6 wickets (World Champions),WORLD_CUP_LEGEND,ICC / Cricsheet
MOMENT_06,2013-02-24,2013,Border-Gavaskar Trophy,"India vs Australia, 1st Test",Australia,"MA Chidambaram Stadium, Chennai",India trailing in 1st innings; counter-attacking double century against Pattinson & Lyon,"224 runs (265 balls, 24 fours, 6 sixes) - Highest Test score by an Indian wicketkeeper",India won by 8 wickets,TEST_MASTERCLASS,BCCI / Cricsheet
MOMENT_07,2013-06-23,2013,ICC Champions Trophy,"India vs England, Final",England,"Edgbaston, Birmingham",Rain-reduced 20-over final; England cruising at 110/4 needing 20 off 16 balls,Captaincy gamble bringing back Ishant Sharma (took 2 wickets in 2 balls); sharp stumpings off spinners,India won by 5 runs (Dhoni completes ICC Trophy Trifecta),CAPTAINCY_TRIFECTA,ICC / Cricsheet
MOMENT_08,2013-07-11,2013,Tri-Nation Series,"India vs Sri Lanka, Final",Sri Lanka,"Queen's Park Oval, Port of Spain",India 9 wickets down needing 15 runs off the final over from Shaminda Eranga,"0, 6, 4, 6 to seal the trophy (45* off 52 balls)",India won by 1 wicket,ICE_COLD_FINISHER,WICB / Cricsheet
MOMENT_09,2016-03-23,2016,ICC World Twenty20,"India vs Bangladesh, Super 10",Bangladesh,"M Chinnaswamy Stadium, Bengaluru",Bangladesh needed 2 runs off 3 balls; Hardik Pandya took 2 wickets; 1 needed off final ball,"Dhoni took off right glove beforehand, sprinted 25 meters, and ran out Mustafizur Rahman by inches",India won by 1 run,LIGHTNING_WICKETKEEPING,ICC / Cricsheet
MOMENT_10,2019-04-21,2019,IPL 2019,CSK vs Royal Challengers Bangalore,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",CSK 28/4 chasing 162; needed 26 runs in final over from Umesh Yadav,"84* (48 balls, 5 fours, 7 sixes) scoring 4, 6, 6, 2, 6 (24 runs in 5 balls)",RCB won by 1 run (Single greatest individual T20 chase effort),HERCULEAN_EFFORT,IPL / Cricsheet
