year,format,runs,matches,major_event,captaincy,trophy,milestone
2004,ODI,19,3,International Debut vs Bangladesh,No,None,ODI Cap #158
2005,ODI / TEST,966,29,148 vs PAK & 183* vs SL; Test Debut,No,None,Highest ODI score by a WK
2006,ALL,1118,42,Maiden Test 100 at Faisalabad; ICC #1 ODI Batter,No,None,Fastest to ICC No. 1 ODI ranking (42 inngs)
2007,ALL,1475,49,Appointed Captain; Won 2007 ICC T20 World Cup,T20I / ODI Captain,ICC T20 World Cup 2007,First major ICC trophy as Captain
2008,ALL,1740,48,Won CB Series in Australia; Appointed Full-Time Test Captain; CSK IPL Debut,All-Format Captain,CB Series (Australia),Full-time Test Captaincy
2009,ALL,1714,45,Led India to World No. 1 Test Ranking (ICC Mace),All-Format Captain,ICC Test Mace #1,First time India #1 in Test history
2010,ALL,1285,46,"Won Asia Cup, Won IPL 2010 (CSK), Won CLT20 2010",All-Format Captain,"Asia Cup, IPL 2010, CLT20 2010",IPL + CLT20 Double
2011,ALL,1699,55,Won ICC Cricket World Cup (91* in Final); Won IPL 2011,All-Format Captain,"ICC Cricket World Cup 2011, IPL 2011",World Cup winning captain (28 yr wait)
2012,ALL,1374,47,T20 WC campaign; gritty ODI hundreds vs Pakistan,All-Format Captain,None,113* vs PAK from 29/5
2013,ALL,1782,53,Won ICC Champions Trophy (Completed ICC Trifecta); 224 vs AUS in Test,All-Format Captain,ICC Champions Trophy 2013,Only captain to win all 3 ICC white-ball trophies
2014,ALL,1391,49,T20 WC Finalists; Won CLT20 2014; Retired from Test Cricket,Captain (Tests ended Dec),CLT20 2014,Test Retirement at MCG (90 Tests)
2015,ALL,1018,38,World Cup 2015 Semi-Finalists (7 wins in a row),ODI / T20I / CSK Captain,None,100th ODI win as captain
2016,ALL,971,44,Won Asia Cup T20; T20 WC Semi-Finalists (Sprint Run-Out vs BAN); Led RPSG,ODI / T20I / RPSG Captain,Asia Cup 2016,Bangalore 1-run thriller sprint
2017,ALL,1133,45,Stepped down as India captain; 134 vs ENG; 100th ODI stumping,No,None,100 ODI Stumpings world record
2018,ALL,757,37,"CSK Return & Won IPL 2018; 10,000 ODI Runs; 200th ODI as Captain",CSK Captain,IPL 2018,"10,000 ODI Runs & 200th captaincy ODI"
2019,ALL,1016,33,World Cup 2019 Semi-Finalists; 84* vs RCB in IPL; Final International match,CSK Captain,None,350th ODI & final international match
2020,IPL,200,14,Announced International Retirement on Aug 15; IPL in UAE,CSK Captain,None,International Retirement
2021,IPL,114,16,Won IPL 2021 (4th Title) in Dubai,CSK Captain,IPL 2021,4th IPL Title & 300th T20 as Captain
2022,IPL,232,14,"Handed captaincy to Jadeja, resumed mid-season; 28* off 13 vs MI finish",CSK Captain (part),None,Iconic last over finish vs Jaydev Unadkat
2023,IPL,104,16,Won IPL 2023 (5th Title); Played entire season with knee injury,CSK Captain,IPL 2023,Record 5th IPL Title & 250th IPL Match
2024,IPL,161,14,Handed captaincy to Ruturaj; 20* off 4 vs Hardik Pandya at Wankhede; SR 220+,Player / Mentor,None,264th IPL Match; Strike Rate 220.55
